Date_Collected,Site,Experiment,Block,Plot,Treatment2,Treatment,Species,Region,ID,SLA,Leaf_Thickness_cm,Aboveground_Dry_Weight_g,Leaf_Number,S_Leaf_Stage,E_Leaf_Stage,F_Leaf_Stage,Flower_Number,E_Flower_Stage,F_Flower_Stage,S_Flower_Stage,Plant_Height_cm,Plant_Area_cm^2,Focal_Root_Weight_g,Total_Belowground_Weight_g,SRL,Root_Diam_Max,Root_Diam_Mean,Percent_N_AbG,Percent_C_AbG,Percent_N_BeG,Percent_C_BeG,Notes
05_24_2021,KZA,Pplots,,F1,0,Control,Dichanthelium_oligosanthes,Aboveground,DO_Pplots_F1,101.572751,0.01,0.06,4,1,0,3,1,1,NA,NA,18.2,352.716,0.2458,2.3926,8.0402738,0.077,0.026316259,2.33,42.46,0.72,43.28,
05_24_2021,KZA,Pplots,,E5,10,10,Dichanthelium_oligosanthes,Aboveground,DO_Pplots_E5,101.1713502,0.01,0.2,8,2,1,5,1,1,NA,NA,21.6,1991.952,0.4453,1.5321,10.40273029,0.145,0.038865514,4.06,43.27,1.4,40.54,
05_24_2021,KZA,Pplots,,C5,0,Control,Dichanthelium_oligosanthes,Aboveground,DO_Pplots_C5,75.92543418,0.01,0.06,4,0,0,4,1,1,NA,NA,15.9,238.5,0.1436,2.74,9.422126045,0.049,0.035762545,2.1,42.88,0.46,45.3,
05_24_2021,KZA,Pplots,,A5,0,Control,Dichanthelium_oligosanthes,Aboveground,DO_Pplots_A5,95.21045896,0.01,0.17,9,0,1,8,1,1,NA,NA,26.1,3947.103,0.2398,2.0862,3.765229775,0.035,0.061137818,2.62,40.99,0.54,45,
05_24_2021,KZA,Pplots,,D6,0,Control,Dichanthelium_oligosanthes,Aboveground,DO_Pplots_D6,87.55075578,0.01,0.14,5,0,1,4,1,1,NA,NA,19.7,1245.434,0.0783,2.8728,4.688337165,0.065,0.032670856,2.8,42.88,0.48,45.77,
05_24_2021,KZA,Pplots,,C6,0,Control,Dichanthelium_oligosanthes,Aboveground,DO_Pplots_C6,89.67327554,0.01,0.05,9,1,1,7,1,1,NA,NA,16.9,985.608,0.29,1.3551,4.964034483,0.06,,2.78,42.38,0.58,46.12,
05_24_2021,KZA,Pplots,,B6,10,10,Dichanthelium_oligosanthes,Aboveground,DO_Pplots_B6,84.12037659,0.01,0.15,6,1,2,3,,,NA,NA,24.5,2665.11,0.3913,3.7712,2.866459494,0.094,0.03643105,4.89,43.24,0.9,44.86,
05_24_2021,KZA,Pplots,,D7,10,10,Dichanthelium_oligosanthes,Aboveground,DO_Pplots_D7,86.23689079,0.01,0.84,19,2,4,13,1,1,,NA,32.1,9135.339,0.6517,2.0126,5.194844253,0.071,0.031384833,3.26,44.14,0.78,45.98,
05_24_2021,KZA,Pplots,,C7,10,10,Dichanthelium_oligosanthes,Aboveground,DO_Pplots_C7,73.0494854,0.01,0.51,27,3,8,16,2,1,1,NA,15.6,1593.072,0.3161,3.3866,8.155741854,0.073,0.041325126,4.1,44.29,0.55,46.69,
05_24_2021,KZA,Pplots,,B7,10,10,Dichanthelium_oligosanthes,Aboveground,DO_Pplots_B7,71.84330967,0.01,1.02,30,2,8,20,1,1,NA,NA,30.5,9600.18,0.8959,2.7578,3.865511329,0.114,0.052573167,4.74,42.53,0.45,44.95,
05_24_2021,KZA,Pplots,,F8,0,Control,Dichanthelium_oligosanthes,Aboveground,DO_Pplots_F8,85.28740702,0.01,0.04,7,1,2,4,1,1,NA,NA,16.5,788.535,0.3224,4.0129,5.087435484,0.06,0.038003992,2.47,42.97,0.66,45.21,
05_24_2021,KZA,Pplots,,E8,10,10,Dichanthelium_oligosanthes,Aboveground,DO_Pplots_E8,111.6250743,0.01,0.29,10,3,3,3,1,1,NA,NA,17.3,2147.968,0.3649,2.1021,4.679816388,0.055,0.035087,5.35,42.11,0.57,41.04,
05_26_2021,KZA,Nutnet,,4,0,Control ,Dichanthelium_oligosanthes,Aboveground,DO_Nutnet_4(S1),99.72227906,0.01,0.16,11,1,3,7,2,2,NA,NA,15.5,590.24,0.5363,2.6304,3.612735409,0.029,0.048570916,2.53,42.78,0.8,44.21,sc=15cm
05_26_2021,KZA,Nutnet,,4,0,Control ,Dichanthelium_oligosanthes,Aboveground,DO_Nutnet_4(S2),79.10290585,0.01,0.15,8,5,2,4,0,,NA,NA,22,1940.4,0.2409,1.2517,9.001203819,0.059,0.049097184,2.48,39.94,0.32,45.83,sc=15cm
05_26_2021,KZA,Nutnet,,5,10,10,Dichanthelium_oligosanthes,Aboveground,DO_Nutnet_5(S1),106.2764778,0.01,0.22,12,2,3,10,1,1,NA,NA,19.6,3286.528,0.0681,1.9875,10.03031571,0.061,0.022854857,5.42,42.97,0.4,44.54,sc=15cm
05_26_2021,KZA,Nutnet,,5,10,10,Dichanthelium_oligosanthes,Aboveground,DO_Nutnet_5(S2),75.64981441,0.01,0.54,19,4,5,8,2,NA,2,NA,20.1,2946.459,0.1418,0.7523,16.06505148,0.101,0.049738023,4.59,43.24,0.73,45.65,sc=15cm
05_26_2021,KZA,Nutnet,,14,10,10,Dichanthelium_oligosanthes,Aboveground,DO_Nutnet_14(S1),114.6241331,0.01,0.15,9,0,1,6,1,1,NA,NA,15.4,392.7,0.0673,3.6146,33.40219911,0.048,0.039712023,4.13,43.6,0.6,40.21,sc=15cm
05_26_2021,KZA,Nutnet,,14,10,10,Dichanthelium_oligosanthes,Aboveground,DO_Nutnet_14(S2),99.55165885,0.01,0.24,9,1,2,5,1,NA,1,NA,27.3,2306.304,0.4795,1.969,5.321063608,,,4.23,45.04,0.75,41.96,sc=15cm
