Date_Collected,Site,Experiment,Block,Plot,Treatment2,Treatment,Species,ID,SLA,Leaf_Thickness_cm,Aboveground_Dry_Weight_g,Leaf_Number,Plant_Height_cm,Plant_Area,Focal_Root_Weight_g,Total_BeG_Weight_g,SRL,Root_Diam_Max,Root_Diam_Mean,F_Leaf_Stage,S_Leaf_Stage,E_Leaf_Stage,Flower_Number,E_Flower_Stage,F_Flower_Stage,S_Flower_Stage,Percent_N_AbG,Percent_C_AbG,Percent_N_BeG,Percent_C_BeG,Log_Focal_Root_Weight,Log_Total_BeG_Weight,Log_SRL,Notes
05_24_2021,KZA,Pplots,,F1,0,Control,Dichanthelium_oligosanthes,DO_Pplots_F1,101.572751,0.01,0.06,4,18.2,352.716,0.2458,2.3926,8.0402738,0.077,0.026316259,3,1,0,1,1,0,0,,,,,-0.609418121,0.378870098,0.905270838,
05_24_2021,KZA,Pplots,,E5,10,10,Dichanthelium_oligosanthes,DO_Pplots_E5,101.1713502,0.01,0.2,8,21.6,1991.952,0.4453,1.5321,10.40273029,0.145,0.038865514,5,2,1,1,1,0,0,,,,,-0.351347305,0.185287113,1.017147339,
05_24_2021,KZA,Pplots,,C5,0,Control,Dichanthelium_oligosanthes,DO_Pplots_C5,75.92543418,0.01,0.06,4,15.9,238.5,0.1436,2.74,9.422126045,0.049,0.035762545,4,0,0,1,1,0,0,,,,,-0.84284556,0.437750563,0.97414891,
05_24_2021,KZA,Pplots,,A5,0,Control,Dichanthelium_oligosanthes,DO_Pplots_A5,95.21045896,0.01,0.17,9,26.1,3947.103,0.2398,2.0862,3.765229775,0.035,0.061137818,8,0,1,1,1,0,0,,,,,-0.620150821,0.319355941,0.575791484,
05_24_2021,KZA,Pplots,,D6,0,Control,Dichanthelium_oligosanthes,DO_Pplots_D6,87.55075578,0.01,0.14,5,19.7,1245.434,0.0783,2.8728,4.688337165,0.065,0.032670856,4,0,1,1,1,0,0,,,,,-1.106238238,0.458305392,0.671018837,
05_24_2021,KZA,Pplots,,C6,0,Control,Dichanthelium_oligosanthes,DO_Pplots_C6,89.67327554,0.01,0.05,9,16.9,985.608,0.29,1.3551,4.964034483,0.06,,7,1,1,1,1,0,0,,,,,-0.537602002,0.131971345,0.69583479,
05_24_2021,KZA,Pplots,,B6,10,10,Dichanthelium_oligosanthes,DO_Pplots_B6,84.12037659,0.01,0.15,6,24.5,2665.11,0.3913,3.7712,2.866459494,0.094,0.03643105,3,1,2,0,0,0,0,,,,,-0.407490152,0.576479565,0.457345809,
05_24_2021,KZA,Pplots,,D7,10,10,Dichanthelium_oligosanthes,DO_Pplots_D7,86.23689079,0.01,0.84,19,32.1,9135.339,0.6517,2.0126,5.194844253,0.071,0.031384833,13,2,4,1,1,0,0,,,,,-0.185952279,0.303757468,0.715572531,
05_24_2021,KZA,Pplots,,C7,10,10,Dichanthelium_oligosanthes,DO_Pplots_C7,73.0494854,0.01,0.51,27,15.6,1593.072,0.3161,3.3866,8.155741854,0.073,0.041325126,16,3,8,2,1,1,0,,,,,-0.500175504,0.529763904,0.911463471,
05_24_2021,KZA,Pplots,,B7,10,10,Dichanthelium_oligosanthes,DO_Pplots_B7,71.84330967,0.01,1.02,30,30.5,9600.18,0.8959,2.7578,3.865511329,0.114,0.052573167,20,2,8,1,1,0,0,,,,,-0.047740463,0.440562767,0.58720695,
05_24_2021,KZA,Pplots,,F8,0,Control,Dichanthelium_oligosanthes,DO_Pplots_F8,85.28740702,0.01,0.04,7,16.5,788.535,0.3224,4.0129,5.087435484,0.06,0.038003992,4,1,2,1,1,0,0,,,,,-0.491604967,0.603458337,0.706498915,
05_24_2021,KZA,Pplots,,E8,10,10,Dichanthelium_oligosanthes,DO_Pplots_E8,111.6250743,0.01,0.29,10,17.3,2147.968,0.3649,2.1021,4.679816388,0.055,0.035087,3,3,3,1,1,0,0,,,,,-0.437826137,0.322653372,0.670228814,
05_26_2021,KZA,Nutnet,,4,0,Control ,Dichanthelium_oligosanthes,DO_Nutnet_4(S1),99.72227906,0.01,0.16,11,15.5,590.24,0.5363,2.6304,3.612735409,0.029,0.048570916,7,1,3,2,2,0,0,,,,,-0.270592203,0.420021796,0.557836156,sc=15cm
05_26_2021,KZA,Nutnet,,4,0,Control ,Dichanthelium_oligosanthes,DO_Nutnet_4(S2),79.10290585,0.01,0.15,8,22,1940.4,0.2409,1.2517,9.001203819,0.059,0.049097184,4,5,2,0,0,0,0,,,,,-0.6181632,0.097500252,0.954300596,sc=15cm
05_26_2021,KZA,Nutnet,,5,10,10,Dichanthelium_oligosanthes,DO_Nutnet_5(S1),106.2764778,0.01,0.22,12,19.6,3286.528,0.0681,1.9875,10.03031571,0.061,0.022854857,10,2,3,1,1,0,0,,,,,-1.166852888,0.298307137,1.001314603,sc=15cm
05_26_2021,KZA,Nutnet,,5,10,10,Dichanthelium_oligosanthes,DO_Nutnet_5(S2),75.64981441,0.01,0.54,19,20.1,2946.459,0.1418,0.7523,16.06505148,0.101,0.049738023,8,4,5,2,0,2,0,,,,,-0.848323769,-0.123608938,1.205882122,sc=15cm
05_26_2021,KZA,Nutnet,,14,10,10,Dichanthelium_oligosanthes,DO_Nutnet_14(S1),114.6241331,0.01,0.15,9,15.4,392.7,0.0673,3.6146,33.40219911,0.048,0.039712023,6,0,1,1,1,0,0,,,,,-1.171984936,0.558060244,1.523775061,sc=15cm
05_26_2021,KZA,Nutnet,,14,10,10,Dichanthelium_oligosanthes,DO_Nutnet_14(S2),99.55165885,0.01,0.24,9,27.3,2306.304,0.4795,1.969,5.321063608,,,5,1,2,1,0,1,0,,,,,-0.319211388,0.294245716,0.725998451,sc=15cm
05_26_2021,KZA,Nutnet,,18,0,Control,Dichanthelium_oligosanthes,DO_Nutnet_18(S1),103.4233359,0.01,0.05,6,18.9,933.66,0.0594,3.6742,10.75454545,0.075,0.027186412,5,0,1,1,1,0,0,,,,,-1.226213555,0.565162793,1.031592059,sc=15cm
05_26_2021,KZA,Nutnet,,18,0,Control,Dichanthelium_oligosanthes,DO_Nutnet_18(S2),92.61473842,0.01,0.06,5,19.1,276.759,0.0512,3.9719,5.520637305,0.072,0.03588575,5,0,0,1,1,0,0,,,,,-1.290730039,0.598998306,0.741989216,sc=15cm
05_26_2021,KZA,Nutnet,,21,0,Control,Dichanthelium_oligosanthes,DO_Nutnet_21(S1),90.57361594,0.01,0.26,7,21.7,2220.778,0.2182,1.1286,10.28299725,0.031,0.027593777,5,1,1,1,1,0,0,,,,,-0.661145254,0.052540046,1.01211972,sc=15cm
05_26_2021,KZA,Nutnet,,21,0,Control,Dichanthelium_oligosanthes,DO_Nutnet_21(S2),95.03416389,0.01,0.03,4,16.5,373.23,0.1555,1.9153,9.792306752,0.053,0.034128323,4,1,0,1,1,,0,,,,,-0.808269607,0.282236809,0.99088501,sc=15cm
05_26_2021,KZA,Nutnet,,25,10,10,Dichanthelium_oligosanthes,DO_Nutnet_25(S1),70.316084,0.01,0.57,16,32.4,8535.456,0.3929,2.9484,3.827987783,0.087,0.04676317,12,1,3,1,0,1,0,,,,,-0.405717971,0.469586403,0.582970543,sc=15cm
05_26_2021,KZA,Nutnet,,25,10,10,Dichanthelium_oligosanthes,DO_Nutnet_25(S2),60.59105861,0.01,0.16,10,21.9,2750.859,0.2496,1.7556,5.03125,0.113,0.04500264,6,2,2,1,0,1,0,,,,,-0.602755419,0.244425572,0.701675898,sc=15cm
06_02_2021,KZA,Change,A,A2,20,20,Dichanthelium_oligosanthes,DO_Change_A2,97.83783195,0.013333333,0.19,14,21,1121.61,0.0313,5.043,3.976994569,0.105,0.041334994,6,4,4,1,1,0,0,,,,,-1.504455662,0.702688968,0.599554998,SC=15cm
06_02_2021,KZA,Change,A,A3,10,10,Dichanthelium_oligosanthes,DO_Change_A3,94.4125128,0.01,0.18,10,20,520.8,0.0291,0.8183,11.31088797,0.051,0.027688676,5,3,2,1,0,1,0,,,,,-1.536107011,-0.087087449,1.053496701,SC=15cm
06_02_2021,KZA,Change,A,A6,0,Control,Dichanthelium_oligosanthes,DO_Change_A6,72.56000564,0.01,0.14,7,19.1,474.444,0.03,0.9865,25.54539667,0.09,0.023518832,4,2,1,1,1,0,0,,,,,-1.522878745,-0.00590291,1.407312651,SC=15cm
06_02_2021,KZA,Change,A,A8,2.5,2.5,Dichanthelium_oligosanthes,DO_Change_A8,73.33862544,0.02,0.5,13,31.1,5092.936,0.0381,1.9835,22.24615906,0.096,0.031101188,7,3,3,1,0,1,0,,,,,-1.419075024,0.297432205,1.347255038,SC=15cm
06_02_2021,KZA,Change,B,B9,0,Control,Dichanthelium_oligosanthes,DO_Change_B9,75.57191047,0.02,0.29,10,31.2,1707.264,0.1401,4.1738,3.155771378,0.088,0.039995417,6,2,2,1,0,1,0,,,,,-0.853561865,0.620531635,0.499105533,SC=15cm
06_02_2021,KZA,Change,B,B10,2.5,2.5,Dichanthelium_oligosanthes,DO_Change_B10,84.45130326,0.013333333,0.44,9,26.1,1547.208,0.0202,2.3724,12.1112797,0.071,0.023796478,5,2,2,2,1,1,0,,,,,-1.694648631,0.375187915,1.083190034,SC=15cm
06_02_2021,KZA,Change,B,B12,20,20,Dichanthelium_oligosanthes,DO_Change_B12,75.99429039,0.016666667,0.3,12,26.2,2011.112,0.0601,1.1343,21.29902329,0.082,0.02353669,6,3,3,1,1,0,0,,,,,-1.221125528,0.054727932,1.328359688,SC=15cm
06_02_2021,KZA,Change,B,B15,10,10,Dichanthelium_oligosanthes,DO_Change_B15,73.86110774,0.023333333,0.1,11,19.5,311.22,0.0237,0.5644,18.37221941,0.067,0.027980266,7,4,3,0,0,0,0,,,,,-1.625251654,-0.248412995,1.264161623,SC=15cm
06_02_2021,KZA,Change,C,C18,20,20,Dichanthelium_oligosanthes,DO_Change_C18,78.09564531,0.02,0.41,14,31.1,1985.424,0.3636,1.4193,5.949764576,0.168,0.03255129,8,3,3,1,0,1,0,,,,,-0.439376125,0.152074203,0.774499782,SC=15cm
06_02_2021,KZA,Change,C,C19,10,10,Dichanthelium_oligosanthes,DO_Change_C19,62.14332007,0.023333333,0.67,13,32.8,6141.8,0.5892,4.5915,4.694460285,0.049,0.03305574,10,1,2,1,0,1,0,,,,,-0.229737262,0.661954589,0.671585669,"SC=15cm, 1 Leaf v. brown & dry"
06_02_2021,KZA,Change,C,C21,0,Control,Dichanthelium_oligosanthes,DO_Change_C21,73.5518726,0.02,0.38,11,28.1,1416.24,0.2702,3.3259,4.70199852,0.102,0.034753088,6,2,3,1,0,1,0,,,,,-0.568314655,0.521909187,0.672282488,SC=15cm
06_02_2021,KZA,Change,C,C22,2.5,2.5,Dichanthelium_oligosanthes,DO_Change_C22,87.92098417,0.016666667,0.28,13,26.5,1030.32,0.2238,6.4943,9.950358803,0.191,0.026105167,7,3,3,1,0,1,0,,,,,-0.650139918,0.812532347,0.997838741,SC=15cm
06_02_2021,KZA,Change,D,D25,2.5,2.5,Dichanthelium_oligosanthes,DO_Change_D25,66.5196332,0.013333333,0.26,10,29.4,2095.632,0.1335,6.8372,10.02449438,0.059,0.025107393,6,2,2,1,1,0,0,,,,,-0.874518734,0.834878284,1.001062477,SC=15cm
06_02_2021,KZA,Change,D,D30,0,Control,Dichanthelium_oligosanthes,DO_Change_D30,64.01216097,0.02,0.42,13,30.1,2023.623,0.0696,3.6726,6.248030172,0.081,0.03390818,9,2,2,2,2,0,0,,,,,-1.15739076,0.56497363,0.795743118,SC=15cm
