Date_Collected,Experiment,Plot,Treatment,Species,ID,Dry_Leaf_Weight_g,Wet_Leaf_Weight_g,Leaf_Thickness_mm,Log_Leaf_Thickness_mm,Leaf_Area_cm,,LDMC,SLA,Notes,ID_temp,Avg,,,,
05_24_2021,Pplots,F1,Control,Dichanthelium_oligosanthes,DO_Pplots_F1_A,0.0174,0.0684,0.01,-2,1.6383,,0.254385965,94.15517241,should I have the average of the three leaves,DO_Pplots_F1,#DIV/0!,,,,
05_24_2021,Pplots,F1,Control,Dichanthelium_oligosanthes,DO_Pplots_F1_B,0.0145,0.0661,0.01,-2,1.58242,,0.219364599,109.1324138,,DO_Pplots_E5,#DIV/0!,,,,
05_24_2021,Pplots,F1,Control,Dichanthelium_oligosanthes,DO_Pplots_F1_C,0.015,0.0635,0.01,-2,1.52146,,0.236220472,101.4306667,,DO_Pplots_C5,#DIV/0!,,,,
05_24_2021,Pplots,E5,10,Dichanthelium_oligosanthes,DO_Pplots_e5_A,0.0486,0.2064,0.01,-2,3.38582,,0.235465116,69.66707819,,DO_Pplots_A5,#DIV/0!,,,,
05_24_2021,Pplots,E5,10,Dichanthelium_oligosanthes,DO_Pplots_e5_B,0.0169,0.0921,0.01,-2,2.36728,,0.1834962,140.0757396,,DO_Pplots_D6,#DIV/0!,,,,
05_24_2021,Pplots,E5,10,Dichanthelium_oligosanthes,DO_Pplots_e5_C,0.0292,0.1497,0.01,-2,2.73812,,0.19505678,93.77123288,,DO_Pplots_C6,#DIV/0!,,,,
05_24_2021,Pplots,C5,Control,Dichanthelium_oligosanthes,DO_Pplots_c5_A,0.0226,0.0714,0.01,-2,1.47574,,0.316526611,65.29823009,,DO_Pplots_B6,#DIV/0!,,,,
05_24_2021,Pplots,C5,Control,Dichanthelium_oligosanthes,DO_Pplots_c5_B,0.0141,0.0671,0.01,-2,1.42748,,0.210134128,101.2397163,,DO_Pplots_D7,#DIV/0!,,,,
05_24_2021,Pplots,C5,Control,Dichanthelium_oligosanthes,DO_Pplots_c5_C,0.0219,0.0687,0.01,-2,1.34112,,0.318777293,61.23835616,,DO_Pplots_C7,#DIV/0!,,,,
05_24_2021,Pplots,A5,Control,Dichanthelium_oligosanthes,DO_Pplots_a5_A,0.0249,0.0901,0.01,-2,2.18948,,0.2763596,87.93092369,,DO_Pplots_B7,#DIV/0!,,,,
05_24_2021,Pplots,A5,Control,Dichanthelium_oligosanthes,DO_Pplots_a5_B,0.0195,0.0855,0.01,-2,2.02946,,0.228070175,104.0748718,,DO_Pplots_F8,#DIV/0!,,,,
05_24_2021,Pplots,A5,Control,Dichanthelium_oligosanthes,DO_Pplots_a5_C,0.0172,0.0652,0.01,-2,1.61036,,0.263803681,93.6255814,,DO_Pplots_E8,#DIV/0!,,,,
05_24_2021,Pplots,D6,Control,Dichanthelium_oligosanthes,DO_Pplots_d6_A,0.0303,0.1062,0.01,-2,2.26568,,0.285310735,74.77491749,,DO_Nutnet_4(S1),#DIV/0!,,,,
05_24_2021,Pplots,D6,Control,Dichanthelium_oligosanthes,DO_Pplots_d6_B,0.0235,0.086,0.01,-2,1.6383,,0.273255814,69.71489362,,DO_Nutnet_4(S2),#DIV/0!,,,,
5_24_2021,Pplots,D6,Control,Dichanthelium_oligosanthes,DO_Pplots_d6_C,0.0099,0.0511,0.01,-2,0.98806,,0.193737769,99.8040404,,DO_Nutnet_5(S1),#DIV/0!,,,,
5_24_2021,Pplots,C6,Control,Dichanthelium_oligosanthes,DO_Pplots_c6_A,0.0237,0.0886,0.01,-2,2.20726,,0.267494357,93.13333333,,DO_Nutnet_5(S2),#DIV/0!,,,,
5_24_2021,Pplots,C6,Control,Dichanthelium_oligosanthes,DO_Pplots_c6_B,0.0188,0.0711,0.01,-2,1.60528,,0.264416315,85.38723404,,DO_Nutnet_14(S1),#DIV/0!,,,,
5_24_2021,Pplots,C6,Control,Dichanthelium_oligosanthes,DO_Pplots_c6_C,0.0135,0.0515,0.01,-2,1.22174,,0.262135922,90.49925926,,DO_Nutnet_14(S2),#DIV/0!,,,,
5_24_2021,Pplots,B6,10,Dichanthelium_oligosanthes,DO_Pplots_b6_A,0.0338,0.1422,0.01,-2,2.64414,,0.23769339,78.22899408,,DO_Nutnet_18(S1),#DIV/0!,,,,
5_24_2021,Pplots,B6,10,Dichanthelium_oligosanthes,DO_Pplots_b6_B,0.0231,0.1246,0.01,-2,2.21996,,0.185393258,96.1021645,,DO_Nutnet_18(S2),#DIV/0!,,,,
5_24_2021,Pplots,B6,10,Dichanthelium_oligosanthes,DO_Pplots_b6_C,0.0347,0.1154,0.01,-2,2.70764,,0.300693241,78.02997118,,DO_Nutnet_21(S1),#DIV/0!,,,,
5_24_2021,Pplots,D7,10,Dichanthelium_oligosanthes,DO_Pplots_d7_A,0.0357,0.1307,0.01,-2,2.57302,,0.273144606,72.07338936,,DO_Nutnet_21(S2),#DIV/0!,,,,
5_24_2021,Pplots,D7,10,Dichanthelium_oligosanthes,DO_Pplots_d7_B,0.0424,0.1738,0.01,-2,3.08864,,0.243958573,72.84528302,,DO_Nutnet_25(S1),#DIV/0!,,,,
5_24_2021,Pplots,D7,10,Dichanthelium_oligosanthes,DO_Pplots_d7_C,0.0175,0.0831,0.01,-2,1.99136,,0.210589651,113.792,,DO_Nutnet_25(S2),#DIV/0!,,,,
5_24_2021,Pplots,C7,10,Dichanthelium_oligosanthes,DO_Pplots_c7_A,0.0333,0.1138,0.01,-2,2.31902,,0.292618629,69.64024024,,DO_Change_A2,#DIV/0!,,,,
5_24_2021,Pplots,C7,10,Dichanthelium_oligosanthes,DO_Pplots_c7_B,0.0273,0.108,0.01,-2,2.3114,,0.252777778,84.66666667,,DO_Change_A3,#DIV/0!,,,,
5_24_2021,Pplots,C7,10,Dichanthelium_oligosanthes,DO_Pplots_c7_C,0.0284,0.0978,0.01,-2,1.8415,,0.290388548,64.8415493,,DO_Change_A6,#DIV/0!,,,,
5_24_2021,Pplots,B7,10,Dichanthelium_oligosanthes,DO_Pplots_b7_A,0.0453,0.1791,0.01,-2,3.48488,,0.252931323,76.92891832,,DO_Change_A8,#DIV/0!,,,,
5_24_2021,Pplots,B7,10,Dichanthelium_oligosanthes,DO_Pplots_b7_B,0.0455,0.2046,0.01,-2,3.58394,,0.222385142,78.76791209,,DO_Change_B9,#DIV/0!,,,,
5_24_2021,Pplots,B7,10,Dichanthelium_oligosanthes,DO_Pplots_b7_C,0.0568,0.2069,0.01,-2,3.39852,,0.274528758,59.83309859,,DO_Change_B10,#DIV/0!,,,,
5_24_2021,Pplots,F8,Control,Dichanthelium_oligosanthes,DO_Pplots_f8_A,0.0152,0.0581,0.01,-2,1.31318,,0.2616179,86.39342105,,DO_Change_B12,#DIV/0!,,,,
5_24_2021,Pplots,F8,Control,Dichanthelium_oligosanthes,DO_Pplots_f8_B,0.02,0.0734,0.01,-2,1.46304,,0.272479564,73.152,,DO_Change_B15,#DIV/0!,,,,
